"Source label","Database table / API endpoint","Data point","Source filename","Source sheet"
"2021 Job Bank Wage data","wages",,"WorkBC_2021_Wage_Data",
,"titles",,"Common Job Titles revised - July 18 2017 (RA)",
,"skills",,"UPDATED FINAL Skills Data for Career Profiles (updated April16 19)",
"B.C. Labour Market Outlook","openings",,"Job Openings by Industry_2016 Census_2021 LMO",
,"education",,"All Occupation's Education Background",
"2016 Census","census",,"2016 Census","Career Profiles"
"B.C. Labour Market Outlook","career_regional",,"3.3.1_WorkBC_Career_Profile_Data_2021_2031","Regional Outlook"
"B.C. Labour Market Outlook","career_provincial",,"3.3.1_WorkBC_Career_Profile_Data_2021_2031","Provincial Outlook"
,"high_opportunity_occupations",,"HOO BC and Region for new tool (with Skills and Competencies 2021)"
,"occupational_interests",,"Occupational Interests_Mar 24 2021"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _<YYYY> <MMM> FINAL",
"Monthly Labour Force Survey, 3-month moving average, seasonally unadjusted","monthly_labour_market_updates","Industry Highlights","REFRESH_WorkBC LMS _<YYYY> <MMM> FINAL",
